NUMBER,PLAYER,,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
26,Kent Bazemore,Kent Bazemore,SF,4-Jun,195,7/1/89,US,8,Old Dominion
1,Kentavious Caldwell-Pope,Kentavious Pope,SG,5-Jun,204,2/18/93,US,7,Georgia
6,Kenyon Martin Jr.,Kenyon Martin Jr.,SF,6-Jun,215,1/6/01,US,R,
7,Kevin Durant,Kevin Durant,PF,10-Jun,240,9/29/88,US,12,Texas
3,Kevin Huerter,Kevin Huerter,SG,7-Jun,190,8/27/98,US,2,Maryland
20,Kevin Knox,Kevin Knox,SF,7-Jun,215,8/11/99,US,2,Kentucky
0,Kevin Love,Kevin Love,PF,8-Jun,251,9/7/88,US,12,UCLA
3,Kevin Porter Jr.,Kevin Porter Jr.,SG,4-Jun,203,5/4/00,US,1,USC
5,Kevon Looney,Kevon Looney,C,9-Jun,222,2/6/96,US,5,UCLA
24,Khem Birch,Khem Birch,C,9-Jun,233,9/28/92,CA,3,"Pitt, UNLV"
22,Khris Middleton,Khris Middleton,SF,7-Jun,222,8/12/91,US,8,Texas A&M
20,Khyri Thomas,Khyri Thomas,SG,3-Jun,210,5/8/96,US,2,Creighton
7,Killian Hayes,Killian Hayes,PG,5-Jun,195,7/27/01,US,R,
35,Killian Tillie,Killian Tillie,C,9-Jun,220,3/5/98,FR,R,Gonzaga
13,Kira Lewis Jr.,Kira Lewis Jr.,PG,1-Jun,170,4/6/01,US,R,Alabama
,Klay Thompson,Klay Thompson,SG,6-Jun,215,2/8/90,US,8,Washington State
37,Kostas Antetokounmpo,Kostas Antetokounmpo,PF,10-Jun,200,11/20/97,GR,2,Dayton
32,Kris Dunn,Kris Dunn,PG,3-Jun,205,3/18/94,US,4,Providence
6,Kristaps Porzingis,Kristaps Porzingis,C,3-Jul,240,8/2/95,LV,4,
1,Kyle Anderson,Kyle Anderson,PF,9-Jun,230,9/20/93,US,6,UCLA
7,Kyle Guy,Kyle Guy,PG,1-Jun,167,8/11/97,US,1,Virginia
0,Kyle Kuzma,Kyle Kuzma,SF,10-Jun,221,7/24/95,US,3,Utah
7,Kyle Lowry,Kyle Lowry,PG,Jun-00,196,3/25/86,US,14,Villanova
11,Kyrie Irving,Kyrie Irving,PG,2-Jun,195,3/23/92,AU,9,Duke
"4, 11",KZ Okpala,KZ Okpala,PF,8-Jun,215,4/28/99,US,1,Stanford
8,Lamar Stevens,Lamar Stevens,PF,6-Jun,230,7/9/97,US,R,Penn State
8,Lamar Stevens,Lamar Stevens,PF,6-Jun,230,7/9/97,US,R,Penn State
"13, 20",Landry Shamet,Landry Shamet,SG,4-Jun,190,3/13/97,US,2,Wichita State
2,Langston Galloway,Langston Galloway,SG,1-Jun,200,12/9/91,US,6,Saint Joseph's
22,Larry Nance Jr.,Larry Nance Jr.,PF,7-Jun,245,1/1/93,US,5,Wyoming
24,Lauri Markkanen,Lauri Markkanen,PF,Jul-00,240,5/22/97,FI,3,Arizona
23,LeBron James,LeBron James,PG,9-Jun,250,12/30/84,US,17,
1,Lonnie Walker,Lonnie Walker,SG,4-Jun,204,12/14/98,US,2,Miami (FL)
2,Lonzo Ball,Lonzo Ball,PG,6-Jun,190,10/27/97,US,3,UCLA
6,Lou Williams,Lou Williams,PG,1-Jun,175,10/27/86,US,15,
,Luca Vildoza,Luca Vildoza,G,3-Jun,190,8/11/95,AR,R,
5,Luguentz Dort,Luguentz Dort,SG,3-Jun,215,4/19/99,CA,1,Arizona State
77,Luka Doncic,Luka Doncic,PG,7-Jun,230,2/28/99,SI,2,
19,Luka Samanic,Luka Samanic,PF,10-Jun,227,1/9/00,HR,1,
5,Luke Kennard,Luke Kennard,SG,5-Jun,206,6/24/96,US,3,Duke
40,Luke Kornet,Luke Kornet,C,2-Jul,250,7/15/95,US,3,Vanderbilt
8,Malachi Flynn,Malachi Flynn,PG,1-Jun,175,5/10/98,US,R,"Washington State, San Diego State"
7,Malcolm Brogdon,Malcolm Brogdon,PG,5-Jun,229,12/11/92,US,4,Virginia
5,Malik Beasley,Malik Beasley,SG,4-Jun,187,11/26/96,US,4,Florida State
25,Mamadi Diakite,Mamadi Diakite,PF,9-Jun,228,1/21/97,GN,R,Virginia
14,Marc Gasol,Marc Gasol,C,11-Jun,255,1/29/85,ES,12,
8,Marcus Morris,Marcus Morris,PF,8-Jun,218,9/2/89,US,9,Kansas
36,Marcus Smart,Marcus Smart,PG,3-Jun,220,3/6/94,US,6,Oklahoma State
20,Markelle Fultz,Markelle Fultz,PG,3-Jun,209,5/29/98,US,3,Washington
88,Markieff Morris,Markieff Morris,PF,9-Jun,245,9/2/89,US,9,Kansas
0,Markus Howard,Markus Howard,SG,10-May,175,3/3/99,US,R,Marquette
35,Marvin Bagley III,Marvin Bagley III,PF,11-Jun,235,3/14/99,US,2,Duke
24,Mason Plumlee,Mason Plumlee,C,11-Jun,254,3/5/90,US,7,Duke
22,Matisse Thybulle,Matisse Thybulle,SG,5-Jun,201,3/4/97,US,1,Washington
21,Matt Thomas,Matt Thomas,SG,4-Jun,190,8/4/94,US,1,Iowa State
18,Matthew Dellavedova,Matthew Dellavedova,PG,3-Jun,200,9/8/90,AU,7,Saint Mary's
8,Maurice Harkless,Maurice Harkless,PF,7-Jun,220,5/11/93,US,8,St. John's
31,Max Strus,Max Strus,SF,5-Jun,215,3/28/96,US,1,"Lewis (IL), DePaul"
42,Maxi Kleber,Maxi Kleber,PF,10-Jun,240,1/29/92,DE,3,
27,Mfiondu Kabengele,Mfiondu Kabengele,PF,9-Jun,250,8/14/97,CA,1,Florida State
7,Michael Carter-Williams,Michael Williams,SG,5-Jun,190,10/10/91,US,7,Syracuse
1,Michael Porter Jr.,Michael Porter Jr.,SF,10-Jun,218,6/29/98,US,1,Missouri
25,Mikal Bridges,Mikal Bridges,SF,6-Jun,209,8/30/96,US,2,Villanova
10,Mike Conley,Mike Conley,PG,1-Jun,175,10/11/87,US,13,Ohio State
55,Mike James,Mike James,PG,1-Jun,189,8/18/90,US,1,Lamar
33,Mike Muscala,Mike Muscala,C,10-Jun,240,7/1/91,US,7,Bucknell
1,Mike Scott,Mike Scott,PF,7-Jun,237,7/16/88,US,8,Virginia
23,Mitchell Robinson,Mitchell Robinson,C,Jul-00,240,4/1/98,US,2,Western Kentucky
81,Miye Oni,Miye Oni,SG,5-Jun,206,8/4/97,US,1,Yale
5,Mo Bamba,Mo Bamba,C,Jul-00,231,5/12/98,US,2,Texas
11,Monte Morris,Monte Morris,PG,2-Jun,183,6/27/95,US,3,Iowa State
15,Montrezl Harrell,Montrezl Harrell,C,7-Jun,240,1/26/94,US,5,Louisville
21,Moritz Wagner,Moritz Wagner,C,11-Jun,245,4/26/97,DE,2,Michigan
15,Mychal Mulder,Mychal Mulder,PG,3-Jun,184,6/12/94,CA,1,"Vincennes University, Kentucky"
33,Myles Turner,Myles Turner,C,11-Jun,250,3/24/96,US,5,Texas
8,Naji Marshall,Naji Marshall,SF,7-Jun,220,1/24/98,US,R,Xavier
9,Nassir Little,Nassir Little,PF,5-Jun,220,2/11/00,US,1,UNC
14,Nate Hinton,Nate Hinton,SG,5-Jun,210,6/8/99,US,R,Houston
1,Nathan Knight,Nathan Knight,PF,10-Jun,253,9/20/97,US,R,William & Mary
11,Naz Reid,Naz Reid,C,9-Jun,264,8/26/99,US,1,LSU
70,Nemanja Bjelica,Nemanja Bjelica,PF,10-Jun,234,5/9/88,RS,5,
3,Nerlens Noel,Nerlens Noel,C,11-Jun,220,4/10/94,US,6,Kentucky
6,Nickeil Alexander-Walker,Nickeil Walker,SG,6-Jun,205,9/2/98,CA,1,Virginia Tech
2,Nico Mannion,Nico Mannion,PG,2-Jun,190,3/14/01,IT,R,Arizona
33,Nicolas Batum,Nicolas Batum,SF,8-Jun,230,12/14/88,FR,12,
33,Nicolas Claxton,Nicolas Claxton,C,11-Jun,215,4/17/99,US,1,Georgia
44,Nicolo Melli,Nicolo Melli,PF,9-Jun,236,1/26/91,IT,1,
15,Nikola Jokic,Nikola Jokic,C,11-Jun,284,2/19/95,RS,5,
9,Nikola Vucevic,Nikola Vucevic,C,11-Jun,260,10/24/90,CH,9,USC
24,Norman Powell,Norman Powell,SF,3-Jun,215,5/25/93,US,5,UCLA
14,Norvel Pelle,Norvel Pelle,C,10-Jun,231,2/3/93,AG,1,
1,Obi Toppin,Obi Toppin,PF,9-Jun,220,3/4/98,US,R,Dayton
3,OG Anunoby,OG Anunoby,SF,7-Jun,232,7/17/97,GB,3,Indiana
,Omer Yurtseven,Omer Yurtseven,C,Jul-00,264,6/19/98,TR,R,"NC State, Georgetown"
17,Onyeka Okongwu,Onyeka Okongwu,C,8-Jun,235,12/11/00,US,R,USC
12,Oshae Brissett,Oshae Brissett,SF,7-Jun,210,6/20/98,CA,1,Syracuse
22,Otto Porter,Otto Porter,PF,8-Jun,198,6/3/93,US,7,Georgetown
17,P.J. Tucker,P.J. Tucker,PF,5-Jun,245,5/5/85,US,9,Texas
43,Pascal Siakam,Pascal Siakam,PF,9-Jun,230,4/2/94,CM,4,New Mexico State
24,Pat Connaughton,Pat Connaughton,SG,5-Jun,209,1/6/93,US,5,Notre Dame
21,Patrick Beverley,Patrick Beverley,PG,1-Jun,180,7/12/88,US,8,Arkansas
54,Patrick Patterson,Patrick Patterson,PF,8-Jun,235,3/14/89,US,10,Kentucky
"9, 44",Patrick Williams,Patrick Williams,PF,7-Jun,215,8/26/01,US,R,Florida State
8,Patty Mills,Patty Mills,PG,1-Jun,180,8/11/88,AU,11,Saint Mary's
13,Paul George,Paul George,SF,8-Jun,220,5/2/90,US,10,Fresno State
4,Paul Millsap,Paul Millsap,PF,7-Jun,257,2/10/85,US,14,Louisiana Tech
44,Paul Reed,Paul Reed,PF,9-Jun,210,6/14/99,US,R,DePaul
1,Paul Watson,Paul Watson,SF,6-Jun,210,12/30/94,US,1,Fresno State
11,Payton Pritchard,Payton Pritchard,SG,1-Jun,195,1/28/98,US,R,Oregon
35,PJ Dozier,PJ Dozier,SG,6-Jun,205,10/25/96,US,3,South Carolina
5,Precious Achiuwa,Precious Achiuwa,PF,8-Jun,225,9/19/99,NG,R,Memphis
15,Quinndary Weatherspoon,Quinndary Weatherspoon,SG,3-Jun,205,9/10/96,US,1,Mississippi State
13,R.J. Hampton,R.J. Hampton,SG,4-Jun,175,2/7/01,US,R,
4,Rajon Rondo,Rajon Rondo,PG,1-Jun,180,2/22/86,US,14,Kentucky
19,Raul Neto,Raul Neto,PG,1-Jun,180,5/19/92,BR,5,
9,Rayjon Tucker,Rayjon Tucker,PG,3-Jun,209,9/24/97,US,1,"Florida Gulf Coast, Little Rock"
25,Reggie Bullock,Reggie Bullock,SF,6-Jun,205,3/16/91,US,7,UNC
1,Reggie Jackson,Reggie Jackson,SG,2-Jun,208,4/16/90,IT,9,Boston College
"0, 14",Reggie Perry,Reggie Perry,PF,8-Jun,250,3/21/00,US,R,Mississippi State
22,Richaun Holmes,Richaun Holmes,C,10-Jun,235,10/15/93,US,5,Bowling Green
9,Ricky Rubio,Ricky Rubio,PG,3-Jun,190,10/21/90,ES,9,
9,RJ Barrett,RJ Barrett,SG,6-Jun,214,6/14/00,CA,1,Duke
23,Robert Covington,Robert Covington,PF,7-Jun,209,12/14/90,US,7,Tennessee State
44,Robert Williams,Robert Williams,C,8-Jun,237,10/17/97,US,2,Texas A&M
13,Robert Woodard,Robert Woodard,SF,6-Jun,235,9/22/99,US,R,Mississippi State
15,Robin Lopez,Robin Lopez,C,Jul-00,281,4/1/88,US,12,Stanford
32,Rodney Hood,Rodney Hood,SF,8-Jun,208,10/20/92,US,6,"Mississippi State, Duke"
17,Rodney McGruder,Rodney McGruder,SG,4-Jun,205,7/29/91,US,4,Kansas State
45,Romeo Langford,Romeo Langford,SG,4-Jun,216,10/25/99,US,1,Indiana
2,Rondae Hollis-Jefferson,Rondae Jefferson,PF,6-Jun,217,1/3/95,US,5,Arizona
23,Royce O'Neale,Royce O'Neale,SF,4-Jun,226,6/5/93,US,3,"Denver, Baylor"
22,Rudy Gay,Rudy Gay,PF,8-Jun,250,8/17/86,US,14,UConn
27,Rudy Gobert,Rudy Gobert,C,1-Jul,258,6/26/92,FR,7,
8,Rui Hachimura,Rui Hachimura,PF,8-Jun,230,2/8/98,JP,1,Gonzaga
4,Russell Westbrook,Russell Westbrook,PG,3-Jun,200,11/12/88,US,12,UCLA
51,Ryan Arcidiacono,Ryan Arcidiacono,PG,3-Jun,195,3/26/94,US,3,Villanova
38,Saben Lee,Saben Lee,PG,2-Jun,183,6/23/99,US,R,Vanderbilt
41,Saddiq Bey,Saddiq Bey,SF,7-Jun,215,4/9/99,US,R,Villanova
15,Sam Merrill,Sam Merrill,SG,4-Jun,205,5/15/96,US,R,Utah State University
30,Sean McDermott,Sean McDermott,SF,6-Jun,195,11/3/96,US,R,Butler
45,Sekou Doumbouya,Sekou Doumbouya,PF,8-Jun,230,12/23/00,GN,1,
37,Semi Ojeleye,Semi Ojeleye,PF,6-Jun,240,12/5/94,US,3,"Duke, SMU"
9,Serge Ibaka,Serge Ibaka,C,10-Jun,235,9/18/89,CG,11,
31,Seth Curry,Seth Curry,SG,2-Jun,185,8/23/90,US,6,"Liberty, Duke"
2,Shai Gilgeous-Alexander,Shai Alexander,SG,6-Jun,180,7/12/98,CA,2,Kentucky
18,Shake Milton,Shake Milton,SG,5-Jun,205,9/26/96,US,2,SMU
3,Shaquille Harrison,Shaquille Harrison,SG,7-Jun,190,10/6/93,US,3,Tulsa
12,Sindarius Thornwell,Sindarius Thornwell,SG,4-Jun,215,11/15/94,US,3,South Carolina
4,Skylar Mays,Skylar Mays,SG,4-Jun,205,9/5/97,US,R,LSU
18,Solomon Hill,Solomon Hill,PF,6-Jun,226,3/18/91,US,7,Arizona
26,Spencer Dinwiddie,Spencer Dinwiddie,SG,5-Jun,215,4/6/93,US,6,Colorado
5,Stanley Johnson,Stanley Johnson,PF,6-Jun,242,5/29/96,US,5,Arizona
30,Stephen Curry,Stephen Curry,PG,3-Jun,185,3/14/88,US,11,Davidson
0,Sterling Brown,Sterling Brown,SG,5-Jun,219,2/10/95,US,3,SMU
12,Steven Adams,Steven Adams,C,11-Jun,265,7/20/93,NZ,7,Pitt
14,Sviatoslav Mykhailiuk,Sviatoslav Mykhailiuk,SG,7-Jun,205,6/10/97,UA,2,Kansas
18,T.J. Leaf,T.J. Leaf,PF,10-Jun,222,4/30/97,IL,3,UCLA
9,T.J. McConnell,T.J. McConnell,PG,1-Jun,190,3/25/92,US,5,"Duquesne, Arizona"
1,T.J. Warren,T.J. Warren,SF,8-Jun,220,9/5/93,US,6,NC State
99,Tacko Fall,Tacko Fall,C,5-Jul,311,12/10/95,SN,1,Central Florida
67,Taj Gibson,Taj Gibson,PF,9-Jun,232,6/24/85,US,11,USC
5,Talen Horton-Tucker,Talen Tucker,SG,4-Jun,234,11/25/00,US,1,Iowa State
12,Taurean Prince,Taurean Prince,PF,7-Jun,218,3/22/94,US,4,Baylor
14,Terance Mann,Terance Mann,SG,5-Jun,215,10/18/96,US,1,Florida State
9,Terence Davis,Terence Davis,SG,4-Jun,201,5/16/97,US,1,Ole Miss
31,Terrence Ross,Terrence Ross,SG,6-Jun,206,2/5/91,US,8,Washington
11,ThÃ©o Maledon,ThÃ©o Maledon,PG,4-Jun,175,6/12/01,FR,R,
21,Thaddeus Young,Thaddeus Young,PF,8-Jun,235,6/21/88,US,13,Georgia Tech
43,Thanasis Antetokounmpo,Thanasis Antetokounmpo,SF,6-Jun,219,7/18/92,GR,2,
21,Theo Pinson,Theo Pinson,SG,5-Jun,212,11/5/95,US,2,UNC
13,Thomas Bryant,Thomas Bryant,C,10-Jun,248,7/31/97,US,3,Indiana
10,Tim Frazier,Tim Frazier,PG,Jun-00,170,11/1/90,US,6,Penn State
11,Tim Hardaway Jr.,Tim Hardaway Jr.,SG,5-Jun,205,3/16/92,US,7,Michigan
9,Timothe Luwawu-Cabarrot,Timothe Cabarrot,SF,7-Jun,220,5/9/95,FR,4,
12,Tobias Harris,Tobias Harris,PF,8-Jun,226,7/15/92,US,9,Tennessee
31,Tomas Satoransky,Tomas Satoransky,SG,7-Jun,210,10/30/91,CZ,4,
13,Tony Bradley,Tony Bradley,C,10-Jun,248,1/8/98,US,3,UNC
19,Tony Snell,Tony Snell,SG,6-Jun,213,11/10/91,US,7,New Mexico
12,Torrey Craig,Torrey Craig,SF,7-Jun,221,12/19/90,US,3,USC Upstate
11,Trae Young,Trae Young,PG,1-Jun,180,9/19/98,US,2,Oklahoma
33,Tre Jones,Tre Jones,PG,1-Jun,185,1/8/00,US,R,Duke
51,Tremont Waters,Tremont Waters,PG,10-May,175,1/10/98,US,1,LSU
3,Trent Forrest,Trent Forrest,PG,4-Jun,210,6/12/98,US,R,Florida State
"0, 8",Trevor Ariza,Trevor Ariza,SF,8-Jun,215,6/30/85,US,16,UCLA
3,Trey Burke,Trey Burke,PG,Jun-00,185,11/12/92,US,7,Michigan
41,Trey Lyles,Trey Lyles,PF,9-Jun,234,11/5/95,CA,5,Kentucky
13,Tristan Thompson,Tristan Thompson,PF,9-Jun,254,3/13/91,CA,9,Texas
7,Troy Brown Jr.,Troy Brown Jr.,SF,6-Jun,215,7/28/99,US,2,Oregon
16,Ty Jerome,Ty Jerome,SG,5-Jun,195,7/8/97,US,1,Virginia
0,Ty-Shon Alexander,Ty-Shon Alexander,SG,3-Jun,195,7/16/98,US,R,Creighton
2,Tyler Bey,Tyler Bey,SF,7-Jun,215,2/10/98,US,R,Colorado
25,Tyler Cook,Tyler Cook,SF,8-Jun,255,9/23/97,US,1,Iowa
14,Tyler Herro,Tyler Herro,SG,5-Jun,195,1/20/00,US,1,Kentucky
10,Tyler Johnson,Tyler Johnson,SG,3-Jun,186,5/7/92,US,6,Fresno State
1,Tyrell Terry,Tyrell Terry,PG,2-Jun,160,9/28/00,US,R,Stanford
0,Tyrese Haliburton,Tyrese Haliburton,PG,5-Jun,185,2/29/00,US,R,Iowa State
0,Tyrese Maxey,Tyrese Maxey,SG,2-Jun,200,11/4/00,US,R,Kentucky
21,Tyus Jones,Tyus Jones,PG,Jun-00,196,5/10/96,US,5,Duke
20,Udoka Azubuike,Udoka Azubuike,C,10-Jun,280,9/17/99,NG,R,Kansas
40,Udonis Haslem,Udonis Haslem,C,8-Jun,235,6/9/80,US,17,Florida
4,Victor Oladipo,Victor Oladipo,SG,4-Jun,213,5/4/92,US,7,Indiana
31,Vlatko Cancar,Vlatko Cancar,PF,8-Jun,236,4/10/97,SI,1,
8,Wayne Ellington,Wayne Ellington,SG,4-Jun,207,11/29/87,US,11,UNC
34,Wendell Carter Jr.,Wendell Carter Jr.,C,10-Jun,270,4/16/99,US,2,Duke
32,Wenyen Gabriel,Wenyen Gabriel,PF,9-Jun,205,3/26/97,SD,1,Kentucky
4,Wesley Iwundu,Wesley Iwundu,SF,6-Jun,195,12/20/94,US,3,Kansas State
9,Wesley Matthews,Wesley Matthews,SG,4-Jun,220,10/14/86,US,11,Marquette
5,Will Barton,Will Barton,SF,6-Jun,181,1/6/91,US,8,Memphis
33,Willie Cauley-Stein,Willie Stein,C,Jul-00,240,8/18/93,US,5,Kentucky
9,Willy Hernangomez,Willy Hernangomez,C,11-Jun,250,5/27/94,ES,4,
2,Xavier Tillman Sr.,Xavier Tillman Sr.,PF,8-Jun,245,1/12/99,US,R,Michigan State
11,Yogi Ferrell,Yogi Ferrell,PG,Jun-00,178,5/9/93,US,4,Indiana
18,Yuta Watanabe,Yuta Watanabe,SF,9-Jun,215,10/13/94,JP,2,George Washington
,Zach Collins,Zach Collins,PF,11-Jun,250,11/19/97,US,3,Gonzaga
8,Zach LaVine,Zach LaVine,SG,5-Jun,200,3/10/95,US,6,UCLA
22,Zeke Nnaji,Zeke Nnaji,PF,44356,240,1/9/01,US,R,Arizona
1,Zion Williamson,Zion Williamson,PF,44354,284,7/6/00,US,1,Duke
,Marquese Chriss,Marquese Chriss,PF,,,,,,
,Brad Wanamaker,Brad Wanamaker,SG,,,,,,
,Rodions Kurucs,Roions Kurucs,,,,,,,
,Quinn Cook,Quinn Cook,PG,,,,,,
,Gordon Hayward,Gordon Hayward,SG,,,,,,
,P.J. Washington,P.J. Washington,PF,,,,,,
,Cody Zeller,Cody Zeller,C,,,,,,
,Terry Rozier,Terry Rozier,PG,,,,,,
,Devonte' Graham,Devonte' Graham,PG,,,,,,
,LaMelo Ball,LaMelo Ball,PG,,,,,,
,Miles Bridges,Miles Bridges,PF,,,,,,
,Bismack Biyombo,Bismack Biyombo,C,,,,,,
,Cody Martin,Cody Martin,SF,,,,,,
,Jalen McDaniels,Jalen McDaniels,SF,,,,,,
,Marques Bolden,Maions Bolden,,,,,,,
,JJ Redick,JJ Redick,SG,,,,,,
,Bogdan Bogdanovic,Bogdan Bogdanovic,SG,,,,,,
,LaMarcus Aldridge,LaMarcus Aldridge,PF,,,,,,
,Svi Mykhailiuk,Svions Mykhailiuk,,,,,,,
,Derrick Favors,Derrick Favors,PF,,,,,,
,Jusuf Nurkic,Jusuf Nurkic,C,,,,,,
,Josh Richardson,Josh Richardson,SG,,,,,,
,Meyers Leonard,Meyers Leonard,C,,,,,,
,Chris Silva,Chions Silva,,,,,,,
,Wes Iwundu,Weions Iwundu,,,,,,,
,Al Horford,Al Horford,PF,,,,,,
,Theo Maledon,Thions Maledon,,,,,,,
,Caleb Martin,Caions Martin,,,,,,,
,Jerome Robinson,Jeions Robinson,,,,,,,
,Jalen Lecque,Jaions Lecque,,,,,,,
,Bruno Caboclo,Brions Caboclo,,,,,,,
,Glenn Robinson III,GlennÊRobinson III,SF,,,,,,
,Terrance Ferguson,Terrance Ferguson,SG,,,,,,
,Dakota Mathias,Daions Mathias,,,,,,,
,Thon Maker,Thon Maker,C,,,,,,
,Jared Harper,Jaions Harper,,,,,,,
,Vernon Carey Jr.,Veions Jr.,,,,,,,
,Nick Richards,Niions Richards,,,,,,,
,Vincent Poirier,Viions Poirier,,,,,,,
,Karim Mane,Kaions Mane,,,,,,,
,Jordan Bone,Joions Bone,,,,,,,
,Moses Brown,Moses Brown,C,,,,,,
,Anzejs Pasecniks,Anions Pasecniks,,,,,,,
,Xavier Tillman,Xavier Tillman,SF,,,,,,
,Malik Monk,Malik Monk,SG,,,,,,
,Darius Miller,Daions Miller,,,,,,,
,Jaylen Adams,Jaions Adams,,,,,,,
,Mason Jones,Maions Jones,,,,,,,
,Rodions Kurucs,Roions Kurucs,,,,,,,
,Kemba Walker,Kemba Walker,PG,,,,,,
,Brian Bowen II,Brions II,,,,,,,
,Ashton Hagans,Asions Hagans,,,,,,,
,Frank Mason,Frank Mason,PG,,,,,,
,Noah Vonleh,Noah Vonleh,C,,,,,,
,Ray Spalding,Raions Spalding,,,,,,,
,Andre Roberson,Anions Roberson,,,,,,,
,Patrick McCaw,Patrick McCaw,SG,,,,,,
,Justin Patton,Juions Patton,,,,,,,
,Iman Shumpert,Imions Shumpert,,,,,,,
,Greg Whittington,Grions Whittington,,,,,,,
,Henry Ellenson,Heions Ellenson,,,,,,,
,Nate Darling,Naions Darling,,,,,,,
,Svi Mykhailiuk,Svions Mykhailiuk,,,,,,,
,Will Magnay,Wiions Magnay,,,,,,,
,Cameron Reynolds,Caions Reynolds,,,,,,,
,Wes Iwundu,Weions Iwundu,,,,,,,
,Chris Silva,Chions Silva,,,,,,,
,LaMarcus Aldridge,LaMarcus Aldridge,PF,,,,,,
,Grant Riller,Grions Riller,,,,,,,
,Mason Jones,Maions Jones,,,,,,,
,Justin Robinson,Juions Robinson,,,,,,,
,Isaiah Thomas,Isaiah Thomas,PG,,,,,,
,Devin Cannady,Deions Cannady,,,,,,,
,Rodions Kurucs,Rodions Kurucs,SF,,,,,,
,Malik Fitts,Maions Fitts,,,,,,,
,JJ Redick,JJ Redick,SG,,,,,,
,Robert Franks,Roions Franks,,,,,,,
,Donta Hall,Doions Hall,,,,,,,
,Charlie Brown Jr.,Chions Jr.,,,,,,,
,Anderson Varejao,Anions Varejao,,,,,,,
,Louis King,Loions King,,,,,,,
,Cameron Oliver,Caions Oliver,,,,,,,
,Cameron Reynolds,Caions Reynolds,,,,,,,